t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=38fc09776956 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=feb99e7f34ea l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=c643786631da l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=5e0b3d4bc001 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=3fa6063cb0db l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=2ef3ac875596 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=955ff4b402c3 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=64e131fde981 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=2ad64e4eeb26 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=67f98d33f16a l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=82a7fb9578b1 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=40a3ff9e3629 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=88db43a48970 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=7d10fe20ca68 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=03604ef530c0 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=b9da51fa608e l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=c16577489811 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=161ec0859d68 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=8da2d69ca60b l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=18bb6fc4a9a4 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=06d9b288ef40 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=6b6ba457cb2a l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=78120df5dfa4 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=0490b1ae8293 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=e4cac30396d8 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=e905b80fe3b1 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=3f4b030add70 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=a4e559f210f7 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=9973aaa88ade l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=841b60aca5f8 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=ae45d9b87a4c l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=65106be7fb6f l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=87f6dbe06822 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=8920774b6265 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=9a89915a13e0 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=cd95cc83e841 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=9c5002548f52 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=289a85b2a132 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=533985a25878 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:12-0300 lvl=info msg="join connections" obj=join id=e74b5232f1d3 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:14-0300 lvl=info msg="join connections" obj=join id=b4bcac79d1bc l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:14-0300 lvl=info msg="join connections" obj=join id=ce84814d0ddc l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:14-0300 lvl=info msg="join connections" obj=join id=c38529d65dac l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:14-0300 lvl=info msg="join connections" obj=join id=d026ff29d303 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:14-0300 lvl=info msg="join connections" obj=join id=967694241a8b l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:15-0300 lvl=info msg="join connections" obj=join id=a209ab72319e l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:16-0300 lvl=info msg="join connections" obj=join id=c0e8ef6ca04d l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:16-0300 lvl=info msg="join connections" obj=join id=75492ac4eef4 l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:16-0300 lvl=info msg="join connections" obj=join id=fa4ac0d08e1c l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:16-0300 lvl=info msg="join connections" obj=join id=23b33571ed8d l=[::1]:80 r=189.110.27.5:50776
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=c60a603bc04b l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=91aecb7873d5 l=[::1]:80 r=189.110.27.5:50882
t=2023-10-17T17:25:18-0300 lvl=info msg="join connections" obj=join id=59cbdc871332 l=[::1]:80 r=189.110.27.5:50882
